titulo,subtitulo,data,autor,texto
Áustria financia programa para capacitar mulheres indígenas,Doação de R$ 620 mil à ONU Mulheres visa a ampliar presença de indígenas em discussões sobre clima e desenvolvimento,27.ago.2024 (terça-feira) - 17h17,Paulo Silva Pinto editor sênior,"O governo da Áustria e aONU Mulheres, órgão daONU(Organização das Nações Unidas), estabeleceram nesta 3ª feira (27.ago.2024) em Brasília um acordo de financiamento para capacitação de mulheres indígenas brasileiras. O país europeu doará R$ 620 mil para o programa.
O objetivo é ampliar a participação de mulheres indígenas nas discussões sobre clima e desenvolvimento. A expectativa é que os resultados sejam notados na COP 30, a Conferência do Clima das Nações Unidas que será realizada em novembro de 2025 em Belém (PA).
O acordo foi assinado pelo embaixador da Áustria no Brasil,Stefan Scholz, e pela representante da ONU Mulheres no Brasil,Ana Carolina Querino.
O governo da Áustria apoia ações da ONU Mulheres no Brasil desde 2020. Scholz disse que os resultados foram significativos.
“As organizações de mulheres indígenas conseguiram levar suas reivindicações sobre direitos humanos órgãos e fóruns internacionais”, afirmou.
Querino disse que o apoio do governo da Áustria reforça o processo de capacitação das mulheres. “Esse apoio que a Embaixada da Áustria vem concedendo às mulheres ao longo dos anos tem sido fundamental para sustentar um processo de construção e fortalecimento de um movimento pulsante e que já existe há algum tempo”, afirmou a representante da ONU Mulheres no Brasil."
México interrompe relações com embaixadas de EUA e Canadá,"O presidente do México, Andrés Obrador, ficou incomodado com críticas dos embaixadores à reforma no judiciário proposta no país",27.ago.2024 (terça-feira) - 17h09,PODER360,"O presidente do México, Andrés Manuel López Obrador, disse nesta 3ª feira (27.ago.2024) que as relações diplomáticas com as embaixadas de Estados Unidos e o Canadá estão“pausadas”.
Em entrevista a jornalistas, disse que não pedirá a retirada dos embaixadores, mas que as conversas serão normalizadas quando a“soberania mexicana”for respeitada. As relações diretas com os governos norte-americano e canadense seguem normalizadas.
Recentemente, os embaixadores dos 2 países criticaram uma reforma judiciária proposta pelo governo mexicano, de eleição direta para integrantes do Judiciário, incluindo da SCJN (Suprema Corte de Justicia de la Nación). A medida foi aprovada por comitê Câmara na 2ª feira (26.ago).
Em comunicado divulgado na última 5ª feira (22.ago), o embaixador norte-americano no México, Ken Salazar, criticou medida. “Com base na minha experiência de vida apoiando o estado de direito, acredito que a eleição direta popular de juízes é um grande risco para o funcionamento da democracia do México“,declarouno X (ex-Twitter).
O embaixador canadense, Graeme Clark, também demonstrou preocupação com o avanço da proposta. Afirmou que a reforma é“preocupante”.
Depois das declarações de Obrador, Salazar amenizou as críticas ao afirmar que “os Estados Unidos sempre trabalharam com o máximo respeito à soberania do México“."
Diretor-geral da PF diz que punição por incêndios é “branda”,"Para Andrei Passos Rodrigues, é preciso revisar a legislação; atualmente, a pena máxima para o crime é de 4 anos",27.ago.2024 (terça-feira) - 17h02,PODER360,"O diretor-geral daPF(Polícia Federal),Andrei Rodrigues,afirmou nesta 3ª feira (27.ago.2024) que há necessidade de revisão da legislação que pune incêndios criminosos. Criticou a pena máxima de 4 anos para o crime de incêndio, considerando-a insuficiente.
Segundo Andrei, as punições atuais são“brandas”e não correspondem à gravidade dos danos causados, que impactam a saúde pública, a economia e o meio ambiente. Deu as declarações em entrevista àGloboNews.

“Essa questão da legislação branda eu diria que é uma realidade, talvez, global, de nós ainda não termos nas legislações de diversos países a penalidade que seja correspondente à gravidade do dano que é causado”,disse.
O diretor-geral da PF também afirmou que há dificuldade em manter os suspeitos detidos por causa das leis atuais, que permitem a liberação dos acusados em audiências de custódia.
“É difícil, para nós, polícia judiciária e para qualquer cidadão, entender que alguém que cometa um crime dessa magnitude entre por uma porta da delegacia e numa audiência de custódia, eventualmente, já saia por outra. É preciso revisitar a legislação para que a legislação dê o suporte também para os juízes manterem essas prisões”, declarou.
Nos últimos dias, a PF prendeu6 pessoasno interior de São Paulo suspeitas de envolvimento nas queimadas, em especial, nas regiões de Ribeirão Preto e São José do Rio Preto.
A investigação, ainda em andamento, não descarta a possibilidade de uma ação coordenada ou a participação do crime organizado nos incêndios.
Leia mais:
Tarcísio descarta relação de preso por incêndio em SP com o PCC
Tem gente colocando fogo em São Paulo, diz Lula a diretor da PF
Ação humana causou 99,9% dos incêndios em SP, diz Defesa Civil
Governo de SP estima prejuízo de R$ 1 bi na agropecuária com incêndios
Incêndios: feitiço virou contra o feiticeiro"
Marçal viola a lei e pede a apoiadores para impulsionar posts,Vídeo da campanha do candidato à Prefeitura de São Paulo foi excluído; multa para quem impulsionar pode chegar a R$ 30.000,27.ago.2024 (terça-feira) - 16h57,PODER360,"A campanha dePablo Marçal(PRTB) publicou durante o fim de semana um vídeo ensinando apoiadores a impulsionar publicações a favor do candidato à Prefeitura de São Paulo. O conteúdo foi apagado do site de Marçal na tarde de 2ª feira (26.ago.2024).
OTSE(Tribunal Superior Eleitoral)proíbe a veiculaçãode qualquer tipo de propaganda eleitoral paga na internet que não seja feita por partidos políticos, federações, coligações, candidatos e representantes. A violação pode causar uma multa de R$ 5.000 a R$ 30.000.
O material, conforme oMetrópoles,indicava 7 dicas para ajudar na campanha do candidato. A dica 6, intitulada“alcance mais pessoas”, tinha um vídeo do chefe de marketing da campanha de Marçal, Diego Neves, mostrando o passo a passo de como impulsionar publicações no Instagram para levar a mensagem do candidato a outras pessoas.
“Tem um jeito para você alcançar mais pessoas de uma forma específica através do tráfego pago”, disse Diego Neves no vídeo de passo a passo. O publicitário chamou a estratégia de“campanha”.

OPoder360entrou em contato com a campanha de Pablo Marçal para questionar a ação, mas não obteve resposta até a publicação desta reportagem. O texto será atualizado caso haja uma manifestação."
Procon-SP notifica NFL sobre itens “proibidos” em jogo no Brasil,"Órgão diz ser necessário assegurar o fornecimento de água e deixar o consumidor levar alimento para o jogo entre Eagles e Packers, em 6 de setembro",27.ago.2024 (terça-feira) - 16h48,PODER360,"O Procon-SP notificou aNFL(National Football League) sobre a lista de itens proibidos divulgada pela organização para o 1º jogo da liga de futebol norte-americano no Brasil. O evento está marcado para 6 de setembro, na Neo Química Arena, em São Paulo.
A arena do Corinthians receberá o jogo entre Philadelphia Eagles e Green Bay Packers. A ação do Procon busca esclarecer direitos dos consumidores, além de questões sobre a venda de ingressos, o direito à meia-entrada e a segurança dos participantes em caso de eventos climáticos adversos.

A notificação reforça a necessidade de respeitar o Código de Defesa do Consumidor, sobretudo quanto à autorização para que os espectadores levem seus próprios alimentos e bebidas, indo de encontro à lista divulgada pela NFL. Também aborda medidas contra a ação de cambistas e a conformidade com oprotocoloNão se Cale, política pública do governo de São Paulo para combater a violência contra a mulher. Além disso, trata dos alvarás para o evento.
“Apesar de algumas restrições de segurança serem compreensíveis, como a proibição de latas e a necessidade de abrir garrafas de água na entrada, é fundamental garantir o direito dos consumidores de levar seus próprios alimentos e bebidas”,declarou.
A NFL tem até 2 de setembro para responder aoProcon-SP, que também terá equipes no local na data do jogo.
Camisas de times de futebol também estariam vetadas, conforme a NFL.
Eis a lista de itens proibidos pela NFL em Eagles x Packers:
álcool– a menos que comprado em um local da NFL;
animais– exceto animais de serviço;
bebidas e alimentos– a menos que comprados em um local da NFL.
recipientes de bebidas, latas, garrafas térmicas, recipientes de vidro e copos –a menos que comprados em um local da NFL;
armas de fogo, facas, lâminas, tesouras, ferramentas, dispositivos eletrônicos de atordoamento ou armas de qualquer tipo, incluindo réplicas de armas de fogo e armas brancas;
fogos de artifício, explosivos, munições, sinalizadores ou pirotecnia de qualquer tipo;
substâncias ilegais, drogas e apetrechos para drogas;
computadores portáteis e capas para laptop;
líquidos de qualquer tipo;
carrinhos de bebê– a menos que sejam clinicamente necessários e etiquetados em um portão designado para essa finalidade;
dispositivos de transmissão;
instrumentos musicais não utilizados em apresentações autorizadas– trombetas, tambores, vuvuzelas e outros dispositivos capazes de causar perturbação ou incômodo."
Maduro diz que Elon Musk pratica atos satânicos como Mussolini e Hitler,Presidente venezuelano relaciona opositores a líderes nazi-fascistas e alega existência de “pactos esotéricos” e “ocultistas”,27.ago.2024 (terça-feira) - 16h45,PODER360,"O presidente da Venezuela, Nicolás Maduro (Partido Socialista Unido da Venezuela, esquerda), voltou a acusar seus opositores de participar de uma conspiração global“satânica”, agora vinculada a Elon Musk e anteriormente associada aos líderes nazi-fascistas na Europa.
Em uma entrevista no domingo (25.ago.2024) para seupodcast no YouTube, Maduro mencionou os “pactos satânicos esotéricos”de Benito Mussolini, ex-líder do Partido Nacional Fascista italiano, afirmando que esses pactos são“bem conhecidos na história da Itália, mas foram deliberadamente ocultados”. Ele também incluiu Adolf Hitler como parte dessa suposta organização.
Assista (1min3s):

Segundo Maduro, essa conspiração foi“revelada pelos pactos satânicos de Elon Musk e pelas práticas ocultistas do fascismo venezuelano”. Ele classifica frequentemente a oposição liderada por María Corina Machado e o candidato presidencial Edmundo González (Plataforma Unitária Democrática, centro-direita) como“fascista”.
Maduro já havia atribuído práticas“satânicas”à oposição em outras ocasiões. Depois da proclamação de sua vitória nas eleições presidenciais de julho, contestada pela oposição, eleafirmouque o governo precisa lidar com“demônios”,citando novamente uma suposta conspiração dos EUA liderada pelo bilionário Elon Musk.
“Se trata novamente de um golpe de Estado dirigido pelos Estados Unidos e o fascismo internacional com Elon Musk, Javier Milei e outros representantes do capitalismo selvagem”, declarou.
A Venezuela vive sob uma autocracia chefiada porNicolásMaduro, 61 anos. Não há liberdade de imprensa. Pessoas podem ser presas por “crimes políticos”. AOEApublicounotaem maio de 2021 (PDF – 179 kB) a respeito da“nomeação ilegítima”do Conselho Nacional Eleitoral. AComissão Interamericana de Direitos Humanosrelatou abusos emoutubro de 2022(PDF – 150 kB),novembro de 2022(PDF – 161 kB) emarço de 2023(PDF – 151 kB).Relatórioda Human Rights Watchdivulgadoem 2023 (PDF – 5 MB) afirma que 7,1 milhões de venezuelanos fugiram do país desde 2014.
Maduro nega que o país viva sob uma ditadura. Diz que há eleições regulares e que a oposição simplesmente não consegue vencer.
As eleições presidenciaisrealizadasem 28 de julho de 2024 são contestadas por parte da comunidade internacional. A principal líder da oposição,MaríaCorina,foi impedidaem junho de 2023 de ocupar cargos públicos por 15 anos. O Supremo venezuelanoconfirmoua decisão em janeiro de 2024. Alegou“irregularidades administrativas”que teriam sido cometidas quando era deputada, de 2011 a 2014, e por“trama de corrupção”por apoiar Juan Guaidó.
Corina indicou a aliadaCorina Yorispara concorrer. No entanto, Yorisnão conseguiu formalizar a candidaturapor causa de uma suposta falha no sistema eleitoral. O diplomataEdmundoGonzálezassumiuo papel de ser o principal candidato de oposição.
O Conselho Nacional Eleitoral da Venezuela, controlado pelo governo,anunciouem 28 de julho de 2024 a vitória de Maduro. O órgãoconfirmouo resultado em 2 de agosto de 2024, mas não divulgou os boletins de urnas –e não há sinais de que isso será feito.
O Centro Carter, respeitada organização criada pelo ex-presidente dosEUA Jimmy Carter,considerouque as eleições na Venezuela“não foram democráticas”.Leia aíntegra(em inglês – PDF – 107 kB) do comunicado.
Os resultados têm sido seguidamente contestados pela União Europeia e por vários países individualmente, como Estados Unidos, México, Argentina, Costa Rica, Chile, Equador, Guatemala, Panamá, Paraguai, Peru, República Dominicana e Uruguai.O Brasil não reconheceu até agora a eleição de Maduro em 2024, mas tampouco faz cobranças mais duras como outros países que apontam fraude no processo."
"Aneel critica liminar, mas regulamenta MP da Amazonas Energia",Justiça tinha dado 72 horas para a agência homologar a MP 1.232; caso já estava na pauta de reunião da diretoria desta 3ª (27.ago),27.ago.2024 (terça-feira) - 16h40,Geraldo Campos Jr. repórter,"A diretoria daAneel(Agência Nacional de Energia Elétrica) decidiu, por unanimidade nesta 3ª feira (27.ago.2024), regulamentar a MP (Medida Provisória)1.232 de 2024, que socorre a Amazonas Energia. A decisão, na prática, garantirá à distribuidora doGrupo Oliveira Energiaaportes de R$ 450 milhões em flexibilizações regulatórias, bancados pelos consumidores de todo o país.
Na 6ª feira (23.ago), a Justiça Federal do Amazonas havia concedidoliminarfavorável à Amazonas Energiadando prazo 72 horaspara a agência regulamentar a MP. No entanto, o processo já constava napauta da reuniãoda diretoria desta 3ª (27.ago) desde 22 de agosto.
Com a homologação da MP, serão flexibilizados:
custos operacionais– repasse de R$ 39 milhões mensais à Amazonas Energia, a partir 26 de maio de 2024 (quando a flexibilização anterior perdeu a validade) por custos operacionais que a empresa teve e que têm direito a reembolso com a flexibilização. A empresa receberá o valor por até 4 meses ou até vender seu controle societário;
fator de corte de perdas e parâmetros de eficiência econômica –reembolso da ordem de R$ 74 milhões mensais, a partir de 11 de abril de 2024 (quando a regra anterior perdeu a validade) pela compra de energia de usinas da região. A empresa receberá o valor por até 4 meses ou até vender seu controle societário.
Ricardo Tili, diretor relator, colocou em seu voto que a Amazonas Energia só receberá os valores referente ao 2º item caso comprove, mediante apresentação de notas fiscais, que efetivamente efetuou o pagamento às usinas pela energia comprada e que agora tem o reembolso solicitado. Eis aíntegrado voto do relator (PDF – 1 MB).
“Entendo que o reembolso referido a não aplicador do fator de corte somente devem ocorrer caso a distribuidora comprove na Aneel que realizou o pagamento das notas fiscais relativas a compra e venda de energia dos seus contratos. Assim, para que haja ressarcimento, entendo que necessariamente deve haver pagamento pretérito”, diz Tili em seu voto.
Os reembolsos, nos 2 casos, serão suportados pela CCC (Conta de Consumo de Combustíveis), uma subconta da CDE (Conta de Desenvolvimento Energético) para custear a geração nas regiões isoladas da Amazônia. Ela é paga por todos os consumidores de energia do país por meio das contas de luz.
A MP,assinadapelo vice-presidenteGeraldo Alckmin(PSB) enquanto ocupava a Presidência interinamente, prorroga a flexibilização das regras regulatórias para viabilizar a concessão, que tem situação de insustentabilidade financeira. Precisava de regulamentação da Aneel.
Desde que era um braço daEletrobras, a Amazonas Energia já tinha uma operação deficitária. Quando foi arrematada pelo grupo Oliveira Energia em 2018, ficou acordado que a companhia receberia cerca de R$ 2 bilhões em aportes ao longo de 4 anos para manter o serviço enquanto implementava uma gestão que trouxesse eficiência, o que não ocorreu.
A ajuda, suportada pelas contas de luz, acabou antes de a empresa ser capaz de andar com as próprias pernas. Agora, o grupo foi obrigado a vender a Amazonas Energia. Ciente do problema, o governo federal editou a MP que estende o benefício até uma troca de controle. Quem comprar a distribuidora tem direito ao benefício por 12 anos. Aúnica no páreoatualmente é aÂmbar Energia, do grupoJ&F.
O grupo apresentou uma proposta para adquirir a Amazonas Energia, mas oPoder360apurou que a área técnica da Aneel deve reprovar o plano apresentado pela empresa dos irmãos Batista. Com a iminente recusa, a Amazonas Energia fica sem comprador no horizonte e tenta se agarrar à MP para abocanhar os recursos.
A MP flexibiliza as metas regulatórias estabelecidas pela Aneel para 4 componentes:
taxa de perdas não técnicas (furto de energia);
corte de custos da CCC (Conta de Consumo de Combustíveis), encargo usado para subsidiar os custos anuais de geração de energia em áreas que não estão integradas ao SIN (Sistema Interligado Nacional);
taxa de inadimplência;
custos operacionais.
Os diretores fizeram críticas à conduta da Amazonas Energia e a interferência do Judiciário no processo. Afirmaram que a MP ainda está dentro da validade (12 de outubro) e que a agência teve um trâmite célere para atender a medida provisória, diante da complexidade técnica.
Ricardo Tili disse ter visto com surpresa e perplexidade o fato de a Amazonas Energia ter apresentado 4 ações quase idênticas noSJAM(Seção Judiciária do Amazonas) em um intervalo de 16 minutos. Segundo ele, a empresa aparentemente queria“escolher o juiz julgador”. A Aneelacusou a empresa de litigância de má-fé.
“Quando o agente (Amazonas Energia) faz o pedido, requer ao Judiciário –e não foi acatado– que essa flexibilização seja deliberada por decisão monocrática pelo diretor-geral, o que não tem previsão nenhuma no regimento da Aneel. Vi isso com muita perplexidade”,afirmou Tili, que rebateu também as acusações de omissão ou inércia da agência.
Com um serviço ineficiente e péssimos indicadores de qualidade, a Amazonas Energia tem dívidas superiores a R$ 10 bilhões. Para o relator, isso afasta a alegação da empresa na Justiça de que a demora da Aneel poderia colocar em risco o serviço de distribuição no Estado, uma vez que ela terá com as flexibilizações só cerca de R$ 450 milhões.
O diretor-geral da Aneel, Sandoval Feitosa, disse que a agência só foi notificada da liminar nesta 3ª (27.ago), durante a reunião.“Qualquer distúrbio no processo de regulação é indesejável. Interferências do Poder Judiciário são indesejadas. Dentro da discricionariedade e do poder legal que as agências possuem, qualquer interferência exógena ao processo regulatório traz complicações e turbulências”."
Lira deve anunciar apoio a Elmar após reunião com Lula abrir caminho,Petista diz que não irá interferir na eleição da Câmara e líder do União Brasil espera oficialização ainda nesta semana,27.ago.2024 (terça-feira) - 16h36,Fabricio Julião repórter,"O deputado federalElmar Nascimento(União Brasil-BA) espera receber o apoio oficial do atual presidente da Câmara,Arthur Lira(PP-AL), nesta semana para sucedê-lo no comando da Casa Baixa. A expectativa aumentou depois de o presidenteLuiz Inácio Lula da Silva(PT) sinalizar aos líderes partidários na 2ª feira (26.ago.2024) quenão vai opinarna eleição legislativa.
Segundo apurou oPoder360, a declaração de Lula surpreendeu os líderes presentes, inclusive do próprio governo. Elmar afirmou ao presidente que escutava havia 2 anos que seu nome seria vetado e agradeceu o posicionamento. O petista teria mencionado que não repetiria os mesmos erros do passado, em referência à derrota do candidato apoiado pela ex-presidente Dilma Rousseff em 2015, o petistaArlindo Chinaglia(SP).
A decisão de Lula abre caminho para Lira apoiar oficialmente Elmar sem o receio de uma represália dos governistas. O anúncio da escolha do atual presidente deve se dar desta 3ª feira (27.ago.2024) a 5ª feira (29.ago), segundo apurou este jornal digital.
O outro pré-candidato à sucessão de Lira na presidência na Câmara,Antonio Brito(PSD-BA), por outro lado, deixou claro na reunião com Lula que respeitará a escolha do presidente da Câmara, mas que não vai desistir da campanha e que a decisão final será dos congressistas.
Há a expectativa de que Brito e o presidente do Republicanos,Marcos Pereira(SP), se reúnam depois do anúncio de Lira para articular avançar juntos em uma chapa conjunta. Mas, até o momento, nenhum dos 2 abre mão de ser o próximo presidente.
O escolhido pelo atual presidente da Casa Baixa deve ter o apoio do PL, (Partido Liberal), que tem a maior bancada. O presidente da sigla, Valdemar Costa Neto, tem sondado os deputados sobre o apoio ao nome de Elmar.
Tanto o líder do União Brasil quanto Brito, líder do PSD, têm apreço dos congressistas do partido do ex-presidente Jair Bolsonaro. Os 2 pré-candidatos estudam oferecer a 1ª vice-presidência da mesa-diretora a um deputado da legenda, em troca de apoio."
Rede e Fenaq pedem no STF a suspensão da PEC da Anistia,"Entidades alegam inconstitucionalidade de Emenda Constitucional 113/2024, que perdoa dívidas de partidos que descumpriram cotas",27.ago.2024 (terça-feira) - 16h35,PODER360,"A Rede Sustentabilidade e aFenaq(Federação Nacional das Associações Quilombos) protocolaram na 2ª feira (26.ago.2024) uma ação no STF (Supremo Tribunal Federal) para questionar a chamada “PEC da Anistia”, que perdoa multas eleitorais milionárias aplicadas a partidos políticos que descumpriram cotas raciais em eleições passadas. Eis aíntegrado documento (PDF – 1 MB).
A ADI (Ação Direta de Inconstitucionalidade) argumenta que aPEC 113/2024viola princípios constitucionais, como o da igualdade, da vedação ao retrocesso, da segurança jurídica, da coisa julgada e o direito à participação política.
“Emenda Constitucional no 133/2024, ao desrespeitar o princípio da vedação ao retrocesso social, não pode eximir os partidos políticos de suas responsabilidades para com a democracia e a gestão dos fundos públicos destinados a garantir a igualdade e a pluralidade política”,afirma a ADI.
As entidades opinam que a anistia pode ser um ato legítimo, desde que“realizada nos limites da legalidade e da moralidade”.Contudo, alegam que, neste caso, há um“desvio de finalidade”com o“objetivo de beneficiar grupos específicos ou evitar a responsabilização por atos ilícitos”.
“Esse tipo de manipulação da anistia não só compromete a integridade do ato em si, mas também reforça estruturas de poder que perpetuam desigualdades e injustiças, ao invés de promover a reparação adequada”, diz.
Por isso, pede a suspensão da PEC até o julgamento da ação, a manifestação do advogado-geral da União e do procurador-geral da União, e a intimação do presidente do Senado,Rodrigo Pacheco(PSD).
A proposta foi promulgada pelo Congresso Nacional na 5ª feira (22.ago), em uma sessão esvaziada que durou 13 minutos. No Senado, a PEC foi aprovada por 51 votos a favor e 15 contra no 1º turno, e por 54 a 16 no 2º turno. Eram necessários 49 votos favoráveis.
O texto permite que os partidos renegociem seus débitos previdenciários em aberto sem juros e multas acumuladas, com correção monetária, em até 60 meses. Para outros débitos, o prazo é de 180 meses. Com a aprovação, os congressistas beneficiam os próprios partidos.
O valor não usado para cumprir as cotas raciais nos pleitos de 2020 e 2022 deve financiar a candidatura de pretos e pardos nas 4 eleições subsequentes, a partir de 2026. Também foi estabelecida a destinação de 30% dos fundos para candidaturas de negros nas eleições municipais deste ano.
Na prática, as siglas vão poder usar os repasses aos quais têm direito para quitar os débitos, sem a incidência de juros ou das multas pelo não pagamento da dívida no passado. O argumento é de que as legendas precisam“evitar o acúmulo de débitos que se tornam impagáveis”.
Ainda não há dados oficiais do Congresso ou da PGFN (Procuradoria Geral da Fazenda Nacional) sobre o montante a ser perdoado pela PEC da Anistia.
Em julho, um levantamento doPoder360mostrou que partidos políticos têm ao menos R$ 378 milhões inscritos na dívida ativa da União. Essas dívidas poderão ser perdoadas ou refinanciadas em condições favoráveis caso a PEC passe pelo Senado. Os dados têm como base informações da PGFN de março."
"“Insanidade mental”, diz Michelle sobre hino em linguagem neutra",O caso se deu durante evento da campanha de Boulos para a Prefeitura de SP com a presença de Lula no sábado (24.ago),27.ago.2024 (terça-feira) - 16h25,PODER360,"A ex-primeira-dama Michelle Bolsonaro criticou nesta 3ª feira (27.ago.2024) a versão doHino Nacional cantado em linguagem neutrano comício do candidato a prefeito de São PauloGuilherme Boulos(Psol).
“Que insanidade mental é essa??? Meeeeu Deus!”,declarou a mulher do ex-presidenteJair Bolsonaro(PL) nos Stories do Instagram.

O caso se deu no sábado (24.ago) durante o 1º compromisso de rua da campanha de Boulos com a presença do presidenteLuiz Inácio Lula da Silva(PT), na praça do Campo Limpo.
Em trecho que circula nas redes sociais, a artista declama“des filhes”no verso“dos filhos deste solo és mãe gentil, pátria amada, Brasil”.
Assista (52s):

O movimento no Brasil pela adoção de uma linguagem que se propõe menos sexista existe pelo menos desde os anos 1990, de acordo com Ana Pessotto, doutora em linguística pela UFSC (Universidade Federal de Santa Catarina) que se dedicou nos últimos anos ao tema.
A percepção de que o uso de palavras terminadas em “o” excluía pessoas do gênero feminino em sentenças como “todos têm algo a dizer” fez surgir propostas que deixassem mais marcado ambos os gêneros. Neste caso, por exemplo, seria usado “todas e todos têm algo a dizer”. Esse tratamento é chamado de linguagem não sexista.
Mais recentemente, pessoas não-binárias (que não se identificam nem com o gênero masculino, nem com o feminino) passaram a defender expressões como “todes”, onde não haveria nenhum tipo de marcação de gênero.
Entendaaquio que dizem defensores e opositores."
"Chance de sabatina do BC na próxima semana é zero, diz Vanderlan",Presidente da CAE destaca que ainda não há cronograma nem indicações do governo para a diretoria da autoridade monetária,27.ago.2024 (terça-feira) - 16h20,Felipe Salgado repórter,"O presidente daCAE(Comissão de Assuntos Econômicos) no Senado,Vanderlan Cardoso(PSD-GO), disse nesta3ª feira (27.ago.2024) que a chance de sabatina dos nomes indicados peloLuiz Inácio Lula da Silva(PT) para ser o próximo presidente doBC(Banco Central) e os novos diretores da autarquia ser realizada na 1ªsemana de setembro“ézero“.
Segundo o congressista, a CAE não é“pastelaria“, por isso, não há razão para ter“pressa”. Mas declarou que o ideal é que a sabatina seja feita antes do fim do mandato do atual presidente do BC, Roberto Campos Neto.
“Seaté agora não foi comunicado nada[indicações do governo]é porque não há pressa. Não vejo motivo para sabatinar do nada”, declarou.
Perguntado sobre o perfil de Gabriel Galípolo,cotadopara ser indicado pelo governo como o próximo presidente do BC, Vanderlan afirmou que o atual diretor de Política Monetária é uma“pessoa comunicativa“e que“não vê problemas“na aprovação do nome.
O líder do Governo no Senado,Jaques Wagner(PT-BA), afirmou que a indicação da presidência do Banco Central deveria ser feita antes das eleições municipais deste ano, em outubro.
“Galípolo é um nome que está em alta. Eu não sei se vai ser. Não sou eu que escolho, é o presidente da República e o ministro da Fazenda[Fernando Haddad]. Eu sei que ele é uma pessoa que se relaciona bem com a equipe atual do Banco Central”, declarou àGloboNewsna 4ª feira (21.ago).
Para o senador petista, Galípolo não teria problemas para aprovação no Senado. Segundo Jaques Wagner, a única preocupação do governo Lula é acelerar a votação na CAE."
"Não sou mais perigoso do que os irmãos Brazão, diz Lessa",O assassino confesso da vereadora Marielle Franco pediu que Chiquinho e Domingos Brazão não estivessem presentes na audiência,27.ago.2024 (terça-feira) - 16h20,Bruna Aragão estagiária de jornalismo,"O ex-policial militar e assassino confesso da vereadoraMarielle Franco(Psol-RJ), Ronnie Lessa, disse nesta 3ª feira (27.ago.2024) quenão é mais perigoso que os supostos mandantes do crime,o deputado federalChiquinhoBrazão (Sem Partido-RJ) e oconselheiro do TCE-RJ (Tribunal de Contas do Estado do Rio de Janeiro)DomingosBrazão.
“O simples fato de eu ter praticado o crime não faz eu ser mais perigoso do que eles”, declarou. Disse ainda que será possível perceber, durante a audiência, que os irmãos são pessoas mais perigosas do que parecem. Ambos foram delatados por Lessa como mandantes no fim de 2023.
A fala foi dita durante o 12º dia de audiência de instrução e julgamento do caso Marielle Franco no STF (Supremo Tribunal Federal), realizada por videoconferência. Antes de começar seu depoimento, Lessa pediu para que não tivesse contato visual com os irmãos. Disse também que os conhece há pelo menos 20 anos.
Seu pedido foi atendido pelo juiz Airton Vieira, auxiliar do STF que ministra a audiência. Ambos foram transferidos da sala de audiência antes que Lessa respondesse às perguntas do representante da PGR (Procuradoria Geral da República) Olavo Evangelista Pezzotti.
Depois do depoimento de Lessa, será ouvido também o outro réu colaborador,o ex-policial Élcio Vieira de Queiroz, quefirmou delação premiada em julho de 2023. Na ocasião, confessou a sua participação na morte da vereadora e do motorista Anderson Gomes em 2018 e delatou Lessa como executor do crime.
Lessa foi preso em 2019, junto com Élcio de Queiroz, por duplo homicídio. Os irmãos Brazão estãopresosdesde 24 de março de 2024. O congressista está no presídio federal de Campo Grande e o conselheiro do TCE-RJ, na Penitenciária Federal de Porto Velho (RO).
Lessa esteve detido no presídio federal de Campo Grande, no Mato Grosso do Sul. Foitransferidopara o presídio de Tremembé (SP) em junho de 2024.
Nesta 3ª feira (27.ago), Lessa depôs pela 1ª vez no STF depois de terdelatadoos irmãosBrazão. O ex-PM fechou o acordo de delação premiada no fim de 2023. Foi também a 1ª vez que os integrantes do crime que matou a vereadora se encontraram, ainda que de maneira virtual.
As audiências começaram em 12 de agosto de 2024. Desde a data, foram ouvidos 3 policiais federais, o miliciano Orlando Oliveira de Araújo, conhecido como Curicica, além do secretário municipal de Ordem Pública do Rio, o delegado Brenno Carnevale.
O caso no STF (Supremo Tribunal Federal) está em fase de instrução e julgamento. A 1ª Turma do Tribunaldecidiu, por unanimidade, em junho de 2024 tornar réus o deputado federal Chiquinho (sem partido-RJ), o conselheiro do TCE-RJ (Tribunal de Contas do Estado do Rio de Janeiro) Domingos Brazão e o delegado da Polícia Civil Rivaldo Barbosa.
Este texto foi produzido pela estagiária de jornalismo Bruna Aragão sob supervisão do editor Matheus Collaço."
